ncl,cltype,maxpix x,maxpix y,maxpix v,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,meansigv,errsigv,a,b,R,errR,area,perim
99,1,577,1867,42,6693,2e+04,1.32e+06,68.51,7.977,3.126e+07,3.126e+06,26.9,1.097,35.56,44.65,62.33,13.2,2.977e+04,2082
100,1,577,1867,42,6419,1.968e+04,1.167e+06,67.98,7.977,2.765e+07,2.765e+06,26.74,1.07,34.26,43.25,60.05,14.6,2.504e+04,1783
101,1,577,1867,42,5709,1.825e+04,9.872e+05,65.53,7.977,2.339e+07,2.339e+06,26.68,1.067,32.78,43.05,58.47,15.09,2.023e+04,1487
102,1,577,1867,42,5514,1.798e+04,9.089e+05,65.06,7.977,2.153e+07,2.153e+06,26.5,1.04,32.45,42.73,57.91,10.44,1.776e+04,1227
103,2,1131,407,38,1745,5512,2.912e+05,37.2,8.303,6.9e+06,6.9e+05,13.36,0.5118,30.85,12.83,27.13,18.11,3891,424.1
104,2,1531,705,39,0,0,2.187e+04,11.15,2.381,5.182e+05,5.182e+04,11.63,0.4821,14.43,9.143,6.198,14.95,1614,238.9
105,1,1106,951,38,514,689,2.713e+05,16.78,3.856,6.427e+06,6.427e+05,13.22,0.5577,39.9,26.29,49.62,15.79,1.885e+04,2135
106,2,1106,951,38,514,689,1.131e+05,16.78,3.856,2.681e+06,2.681e+05,9.744,0.343,36.04,12.91,30.31,22.99,5592,615.2
107,2,999,1274,40,0,0,7.278e+04,11.15,1.691,1.724e+06,1.724e+05,17.48,0.8095,42.46,19.9,43.85,13.83,7095,830.2
108,2,1354,449,38,397,544,3.736e+04,15.77,4.406,8.853e+05,8.853e+04,6.593,0.2204,13,30.21,26.98,8.838,1993,307.6
109,2,1120,976,38,0,0,2.042e+04,11.15,2.319,4.837e+05,4.837e+04,8.564,0.3577,12.3,11.01,6.89,5.401,1565,230
110,2,1145,1318,38,0,0,1.09e+04,11.15,2.316,2.583e+05,2.583e+04,8.624,0.3678,13.33,10.99,8.775,10.18,949.9,188.1
111,1,606,1719,44,1371,1960,6.209e+05,23.92,3.479,1.471e+07,1.471e+06,22.1,0.9371,28.45,84.21,77.58,32.72,2.37e+04,1858
112,2,1163,907,42,0,0,9.027e+04,11.15,1.917,2.139e+06,2.139e+05,12.05,0.5168,25.16,27.98,39.37,12.45,8047,1021
113,2,1029,1373,38,0,0,7025,11.15,2.021,1.664e+05,1.664e+04,5.153,0.1831,19.67,6.301,4.153,24.99,949.9,250.9
114,2,781,1539,43,0,0,9.153e+04,11.15,2.13,2.169e+06,2.169e+05,18.99,0.8509,51.29,25.3,55.84,16.87,7936,955.7
115,2,1054,442,41,3105,1.037e+04,5.052e+05,49.93,8.997,1.197e+07,1.197e+06,14.75,0.5593,16.42,35.74,35.22,20.2,6923,504.7
116,2,1177,452,39,187,187,1.694e+04,12.92,2.844,4.013e+05,4.013e+04,5.134,0.1915,12.8,6.012,nan,7.852,1336,221
117,2,1040,1267,39,0,0,7776,11.15,1.763,1.842e+05,1.842e+04,5.11,0.1741,8.047,10.5,nan,8.516,1302,313.6
118,2,1148,1359,39,0,0,7661,11.15,1.877,1.815e+05,1.815e+04,nan,nan,22.64,6.998,10.42,20.75,952.1,224
119,1,626,1655,39,385,423,7.885e+04,14.86,3.281,1.868e+06,1.868e+05,10.59,0.4977,59.83,21.15,55.07,27.85,4876,770.5
120,2,656,1628,41,82,85,3.462e+04,11.99,2.611,8.203e+05,8.203e+04,8.757,0.3913,7.506,14.92,nan,14.66,2138,331.5
121,2,626,1655,39,303,338,3.608e+04,14.2,3.281,8.548e+05,8.548e+04,10.54,0.4905,36.06,9.198,23.8,27.31,2236,403.2
122,2,1166,1100,40,0,0,1.465e+04,11.15,1.895,3.472e+05,3.472e+04,5.152,0.1827,32.08,11.64,26.01,21.84,2575,534.6
123,2,1186,1309,41,0,0,1.96e+04,11.15,1.928,4.644e+05,4.644e+04,6.933,0.2856,17.34,30.69,33.1,18.47,2513,465.9
124,2,1215,1327,41,0,0,3.258e+04,11.15,2.144,7.718e+05,7.718e+04,12.19,0.558,20.18,11.88,17.98,12.11,2517,379.3
125,2,606,1719,44,977,1528,1.414e+05,21.76,3.479,3.349e+06,3.349e+05,15.66,0.7044,14.35,27.87,27.32,13.6,4859,504.7
126,1,451,1824,44,1377,2032,2.671e+05,24.26,3.599,6.328e+06,6.328e+05,21.07,0.9966,43.91,19.74,44.51,25.75,9891,1419
127,2,577,1867,42,692,1316,7.981e+04,20.61,7.977,1.891e+06,1.891e+05,8.502,0.3444,15.74,21.04,23.77,5.075,1543,215
128,2,1085,486,44,452,525,8.063e+04,15.63,2.957,1.91e+06,1.91e+05,12.27,0.5651,22.85,28.75,37.76,11.96,5073,788.4
129,2,684,708,42,345,487,1.481e+05,15.35,4.418,3.508e+06,3.508e+05,13.22,0.4926,81.98,38.18,89.22,41.84,1.153e+04,1980
130,2,1038,1353,41,0,0,1.205e+04,11.15,1.757,2.855e+05,2.855e+04,nan,nan,8.489,23.76,14.92,14.01,1552,259.8
131,1,931,1781,43,0,0,8.813e+04,11.15,2.187,2.088e+06,2.088e+05,10.37,0.4484,15.01,49.47,40.64,31.87,8112,952.7
132,2,515,1741,43,219,257,5.297e+04,13.53,3.079,1.255e+06,1.255e+05,12,0.5051,12,14.18,11.81,8.544,2905,465.9
133,2,931,1781,43,0,0,1.793e+04,11.15,2.187,4.249e+05,4.249e+04,8.746,0.4087,12.4,20.45,18.97,7.629,1494,295.7
