ncl,cltype,maxpix x,maxpix y,maxpix v,ra dec,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
189,0,1459,1886,58,12h01m54.1703s -18d53m10.9905s,1,41,41,5.235e+04,11.56,2.0232697,1.501e+06,1.501e+05,26.36363636,0.8,9.298,0.2626,21.55,26.36,34.51,6.597,3951,385.3,401.3,40.68,1.852e+06,1.083e+06,2.301,0.5132
190,2,1191,887,58,12h01m55.1558s -18d53m10.9906s,345,,,8153,11.15,1.2977747,2.218e+05,2.218e+04,25,0.8,9.139,0.6269,11.1,13.54,9.32,5.829,1093,182.2,812.7,182.7,1.341e+07,2.527e+07,4.065,2.635
191,0,1164,1277,62,12h01m54.771s -18d53m10.9346s,2,,,5.995e+04,11.15,1.454729,1.631e+06,1.631e+05,25,0.8,18.72,1.019,37.34,13.51,31.97,24.06,5797,585.3,507.8,62.15,1.025e+07,2.318e+07,7.956,6.1
192,2,1178,950,60,12h01m55.0936s -18d53m10.9626s,345,,,9873,11.15,1.7870585,2.685e+05,2.685e+04,25,0.8,5.861,0.2047,12.03,14.98,12.89,4.767,994.5,149.3,514.8,67.93,2.528e+06,2.822e+06,1.909,0.7437
193,2,1313,1318,66,12h01m54.7306s -18d53m10.8786s,2,,,1.74e+04,11.15,1.452766,4.733e+05,4.733e+04,25,0.8,18.86,1.101,24.14,9.124,16.49,16.5,1929,271.8,554.3,115.2,2.202e+07,6.623e+07,14.34,14.53
194,2,1347,1336,67,12h01m54.7128s -18d53m10.8646s,2,,,7.86e+04,11.15,1.7698662,2.138e+06,2.138e+05,25,0.8,25.05,1.222,16.42,25.74,28.4,2.352,299,313.6,843.6,84.68,3.434e+07,9.788e+06,9.656,1.568
195,0,1459,1986,61,12h01m54.0717s -18d53m10.9485s,1,532,1219,4.419e+04,20.07,5.8049674,1.268e+06,1.268e+05,26.36363636,0.8,6.403,0.214,13.76,10.21,7.828,5.236,1365,185.2,6586,1812,6.353e+07,1.277e+08,0.2932,0.1993
196,2,1189,988,63,12h01m55.0561s -18d53m10.9206s,345,91,13,3.743e+04,12.41,2.1775057,1.018e+06,1.018e+05,25,0.8,12.56,0.4374,12.81,20.85,19.89,7.838,2105,241.9,818.9,95.25,1.196e+07,1.422e+07,3.571,1.473
197,2,1296,1178,64,12h01m54.8687s -18d53m10.9066s,2,,,1.068e+04,11.15,1.7593424,2.906e+05,2.906e+04,25,0.8,9.014,0.4869,10.55,11.55,3.449,5.721,851.8,167.2,7775,1.124e+04,3.374e+08,1.68e+09,1.117,1.86
198,2,1317,1194,63,12h01m54.8529s -18d53m10.9206s,2,,,1.071e+04,11.15,1.4735513,2.914e+05,2.914e+04,25,0.8,10.82,0.672,9.292,15.64,8.597,15.04,943.2,173.2,1255,776.6,3.149e+07,1.654e+08,4,7.028
199,0,1319,1023,66,12h01m55.0216s -18d53m10.8786s,2,,,3.36e+04,11.15,1.5431762,9.139e+05,9.139e+04,25,0.8,16.95,0.8376,41.79,13.69,34.66,31.79,6451,812.3,242.2,30.92,3.696e+06,1.018e+07,12.61,11.7
200,1,1244,1239,74,12h01m54.8085s -18d53m10.7666s,2,,,1.042e+05,11.15,1.6631304,2.833e+06,2.833e+05,25,0.8,21.49,0.6447,48.64,15.04,40.29,23.51,7403,630.1,555.6,60.58,1.173e+07,2.059e+07,7.607,4.527
201,2,1271,1270,73,12h01m54.7779s -18d53m10.7806s,2,,,1.59e+04,11.15,1.5548571,4.325e+05,4.325e+04,25,0.8,12.81,0.7612,11.13,24.63,20.36,9.487,2118,304.6,332.1,40.28,4.93e+06,6.934e+06,8.948,4.394
202,1,1282,1095,73,12h01m54.9506s -18d53m10.7806s,2,167,2,7.285e+04,13.04,2.7033582,1.981e+06,1.981e+05,25,0.8,13.89,0.5862,18.15,36.79,38.13,21.53,4103,513.7,433.7,47.46,4.043e+06,6.869e+06,4.302,2.493
203,2,1289,1131,73,12h01m54.9151s -18d53m10.7806s,2,5,5,4.731e+04,11.65,2.2193582,1.287e+06,1.287e+05,25,0.8,14.42,0.7136,19.93,16.49,23.63,4.193,2401,295.7,733.3,75.17,1.189e+07,6.544e+06,4.424,1.002
204,2,1243,1241,74,12h01m54.8066s -18d53m10.7666s,2,,,4.151e+04,11.15,1.5699685,1.129e+06,1.129e+05,25,0.8,18.54,0.7007,25.26,12.71,23.2,12,3188,424.1,668.1,80.37,1.823e+07,2.838e+07,8.176,4.35
205,2,1282,1095,73,12h01m54.9506s -18d53m10.7806s,2,79,103,1.413e+04,12.16,2.7033582,3.843e+05,3.843e+04,25,0.8,8.67,0.5792,6.284,22.35,7.812,38.62,1217,241.9,2005,3811,3.554e+07,5.271e+08,1.77,8.755
