ncl,cltype,maxpix x,maxpix y,maxpix v,radec,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir,ltemass,tex
49,1,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,1.76E+04,7.81E+04,9.70E+06,486.3,21.104567,1.01E+07,1.01E+06,0.9615384615,0.8,34.95,1.636,42.9,85.01,96.57,43.99,3.92E+04,2234,346.2,34.97,8.07E+06,1.11E+07,13.47,6.406,1.17E+07,16.23
50,1,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,9309,3.73E+04,5.17E+06,336.1,21.104567,5.41E+06,5.41E+05,0.9615384615,0.8,31.45,1.459,40.56,73.55,87.01,28.13,2.08E+04,1619,227.5,22.89,4.76E+06,4.67E+06,18.42,6.464,5.83E+06,17.59
51,1,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,8729,3.57E+04,4.97E+06,329,21.104567,5.20E+06,5.20E+05,0.9615384615,0.8,31.43,1.455,40.56,73.66,87.09,26.62,1.95E+04,1431,218.2,21.94,4.56E+06,4.23E+06,19.17,6.416,5.60E+06,17.62
52,1,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,1.13E+04,4.74E+04,6.36E+06,378.9,21.104567,6.65E+06,6.65E+05,0.9615384615,0.8,33.31,1.575,37.23,79.53,86.67,45.6,2.52E+04,1813,281.9,28.65,6.65E+06,1.05E+07,16.74,9.105,7.33E+06,17.17
53,1,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,5279,1.95E+04,2.84E+06,243.5,21.104567,2.97E+06,2.97E+05,0.9615384615,0.8,29.97,1.437,40.26,28.77,52.44,19.16,1.18E+04,961.6,344.2,35.16,1.09E+07,1.20E+07,18.34,7.167,3.09E+06,18.22
54,2,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,3611,1.27E+04,1.93E+06,196.1,21.104567,2.02E+06,2.02E+05,0.9615384615,0.8,30.02,1.452,39.45,27.91,50.98,17.77,8052,701.8,247.7,25.28,8.07E+06,8.51E+06,26.31,9.874,2.11E+06,18.87
55,2,1198,1553,26,12h01m54.4987s -18d53m11.438s,2,92,92,3.62E+04,20.07,8.197017,3.79E+04,3789,0.9615384615,0.8,7.279,0.3748,16.91,5.007,nan,10.06,992.2,191.1,nan,nan,nan,nan,nan,nan,6.10E+04,11.05
56,2,1169,1434,30,12h01m54.6161s -18d53m11.382s,2,1465,6362,9.38E+05,139.2,19.561745,9.81E+05,9.81E+04,0.9615384615,0.8,22.52,1.018,21.24,20.35,28.84,2.379,3267,340.5,375.3,37.67,1.22E+07,3.43E+06,17.28,2.73,1.12E+06,18.39
57,2,1458,1742,25,12h01m54.3123s -18d53m11.452s,1,447,1081,1.48E+05,58.28,10.216821,1.47E+05,1.47E+04,0.9090909091,0.8,8.548,0.3484,12.74,15.91,15.01,5.729,1583,197.1,207.4,26.1,1.86E+06,2.15E+06,8.653,3.487,1.44E+05,12.37
58,2,556,1384,29,12h01m54.6654s -18d53m11.396s,2,1476,3959,4.30E+05,11,13.418043,4.50E+05,4.50E+04,0.9615384615,0.8,17.47,0.8122,16.57,24.13,27.31,10.71,3291,397.2,191.9,20.89,3.95E+06,4.68E+06,21.47,8.911,2.97E+05,14.78
59,1,577,1863,42,12h01m54.1929s -18d53m11.214s,1,1.52E+04,8.09E+04,1.26E+07,495,21.1537,1.25E+07,1.25E+06,0.9090909091,0.8,49.27,2.356,86.37,72.46,127.4,24.45,3.39E+04,2019,244.3,24.46,8.58E+06,5.08E+06,28.75,6.804,2.17E+07,19.15
60,2,1339,1369,27,12h01m54.6802s -18d53m11.424s,2,147,178,4.34E+04,25.75,9.448948,4.54E+04,4535,0.9615384615,0.8,4.999,0.1523,15.7,8.211,5.505,11.02,796,131.4,476.4,521.8,3.98E+06,2.39E+07,3.514,7.045,7.13E+04,11.58
61,2,1413,1491,29,12h01m54.5599s -18d53m11.396s,2,331,902,1.58E+05,53.43,12.23474,1.66E+05,1.66E+04,0.9615384615,0.8,11.4,0.3931,16.1,10.31,11.33,3.463,1492,197.1,410.9,52.85,8.68E+06,8.02E+06,10.28,3.382,1.62E+05,12.09
62,2,1341,1522,26,12h01m54.5293s -18d53m11.438s,2,408,656,5.69E+04,45.93,9.889511,5.95E+04,5952,0.9615384615,0.8,5.374,0.2396,8.853,14.13,4.496,20.22,909.7,182.2,937.4,2815,1.11E+07,1.50E+08,2.526,11.37,5.90E+04,12.71
