ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
125,2,1145,1318,38,2,0,0,2.352e+04,11.15,2.316,6.114e+05,6.114e+04,25,0.8,15.25,0.696,10.38,12.15,4.797,5.665,1331,215,8457,6302,7.552e+08,2.677e+09,2.114,2.512
126,2,1139,1366,33,2,0,0,2833,11.15,2.063,7.366e+04,7366,25,0.8,nan,nan,7.489,6.415,nan,1.882,374.6,89.59,nan,nan,nan,nan,nan,nan
127,2,703,1472,35,2,0,0,2.261e+04,11.15,1.663,5.878e+05,5.878e+04,25,0.8,13.55,0.9079,35.64,17.84,37.02,10.52,3532,382.3,136.5,14.01,1.247e+06,1.083e+06,13.39,4.414
128,2,546,1453,37,2,0,0,1.946e+04,11.15,1.393,5.059e+05,5.059e+04,25,0.8,15.07,0.978,45.19,22.36,48.58,9.752,4034,677.9,68.24,6.876,5.88e+05,3.67e+05,25.27,6.548
129,2,1180,1481,34,2,0,0,9645,11.15,1.647,2.508e+05,2.508e+04,25,0.8,5.81,0.1652,6.937,17.14,1.978,60.81,1055,170.2,2.039e+04,9.503e+05,6.41e+08,5.91e+10,0.3085,9.481
130,2,1120,449,37,345,1010,2771,1.399e+05,27.52,8.08,2.471e+06,2.471e+05,16.98,0.8,11.25,0.4247,11.77,26.29,22.53,10.21,2285,259.8,1550,181,1.603e+07,2.19e+07,1.337,0.6286
131,2,1112,509,35,345,293,321,5.409e+04,14.06,3.108,9.553e+05,9.553e+04,16.98,0.8,10.48,0.3766,21.54,29.09,36.69,16.62,3291,442,225.9,24.09,1.246e+06,1.7e+06,4.885,2.293
132,2,1404,525,35,345,1310,2005,9.922e+04,24.13,4.253,1.752e+06,1.752e+05,16.98,0.8,6.358,0.1966,39.49,21.31,43.74,16.03,4286,400.2,291.5,30.06,4.963e+05,5.488e+05,1.169,0.4499
133,1,1008,807,46,345,0,0,8.1e+04,11.15,1.62,1.43e+06,1.43e+05,16.98,0.8,18.73,1.021,13.44,26.56,25.15,5.732,6645,621.2,719.7,74.58,1.848e+07,1.293e+07,7.141,1.941
134,2,1253,1391,35,2,0,0,1988,11.15,1.235,5.169e+04,5169,25,0.8,5.133,0.2252,13.31,5.817,nan,4.811,454.9,104.5,nan,nan,nan,nan,nan,nan
