ncl,ra,dec,vlsr,maj,min,pa,r,delta r,fwhm,vel disp,delta fwhm,delta vel disp,LCO,delta LCO,Mlum,mvir,delta mvir,nvox,tpk
C266,80.241,-67.827,280.4,6.2,5.4,127,6.5,0.81,1.19,0.5053464712,0.31,0.131644879,850,38,4862,9500,990,98,1.4
C267,80.264,-68.815,259.2,8.9,3.8,121,,,0.55,0.2335634951,1.02,0.4331541181,1100,57,6292,0,0,67,1.23
C268,80.266,-68.683,266,12.5,5.6,45,11.7,0.21,1.37,0.5817854332,0.14,0.05945252602,3090,11,17674.8,22700,380,267,2.14
C269,80.273,-68.799,285.6,6.6,4.2,122,,,0.65,0.2760295851,0.48,0.2038372321,530,62,3031.6,0,0,53,1.39
C270,80.277,-70.224,225.8,10.6,7.3,168,14,0.12,1.61,0.6837040492,0.08,0.03397287201,9440,4,53996.8,37900,220,761,3.57
C271,80.29,-70.016,240.7,22,9.3,21,25.2,0.48,1.67,0.7091837032,1.03,0.4374007271,36420,77,208322.4,73500,1970,86,3.42
C272,80.298,-69.981,239.2,11,10.8,92,18.8,0.3,1.58,0.6709642222,0.4,0.1698643601,11920,45,68182.4,48700,860,112,2.97
C273,80.303,-67.814,277.6,4,4.4,153,,,1.64,0.6964438762,0.51,0.2165770591,690,63,3946.8,0,0,43,1.6
C274,80.304,-68.8,281.4,12.1,8.7,23,17.4,0.85,2.1,0.8917878903,0.87,0.3694549831,4160,81,23795.2,79600,2160,31,1.87
C275,80.332,-68.701,270.9,11.8,5.2,4,9.7,0.32,1.08,0.4586337722,0.28,0.118905052,1760,26,10067.2,11900,570,164,1.47
C276,80.343,-68.034,272.8,9.4,6.1,107,11,0.32,1.77,0.7516497933,0.15,0.06369913502,3500,10,20020,35700,410,364,2.09
C277,80.346,-67.764,297.7,6.3,4.3,95,,,1.28,0.5435659522,0.36,0.1528779241,720,45,4118.4,0,0,67,1.11
C278,80.347,-67.786,279,10.9,6.5,128,12.8,0.67,1.59,0.6752108312,0.47,0.1995906231,5410,49,30945.2,33700,1260,84,2.56
C279,80.348,-70.185,227.9,5.8,4.4,129,,,1.14,0.4841134262,0.3,0.12739827,1050,18,6006,0,0,75,1.95
C280,80.348,-67.998,283.7,8,5.6,11,8.6,0.33,1.31,0.5563057792,0.19,0.08068557103,2410,11,13785.2,15400,540,204,2.61
C281,80.359,-67.794,298.1,5.8,3.8,168,,,1.15,0.4883600352,0.77,0.3269888931,780,56,4461.6,0,0,33,1.77
C282,80.37,-67.848,279.6,17.2,6.9,160,17.6,0.16,1.26,0.5350727342,0.15,0.06369913502,7480,13,42785.6,29300,330,427,2.79
C283,80.388,-68.788,279.3,9.3,10.2,120,16.4,1.24,1.2,0.5095930802,0.99,0.4204142911,6870,52,39296.4,24500,2710,82,1.85
C284,80.392,-67.95,283.8,6.4,5.3,36,6.5,1.33,1.17,0.4968532532,0.56,0.2378101041,530,127,3031.6,9200,1820,22,1.11
C285,80.393,-67.765,278.6,8.1,4.4,176,,,1.57,0.6667176132,1.27,0.5393193432,2680,84,15329.6,0,0,50,1.65
C286,80.418,-69.672,245.5,13,8.6,113,18,0.39,1.28,0.5435659522,0.28,0.118905052,6110,37,34949.2,30600,630,201,2.34
C287,80.446,-67.828,279.9,5.3,7.9,76,7.8,0.84,0.88,0.3737015921,0.42,0.1783575781,1460,39,8351.2,6300,1210,76,1.45
C288,80.45,-67.669,284.4,17.4,6.9,172,17.6,0.14,1.24,0.5265795162,0.13,0.05520591702,5090,6,29114.8,28100,350,579,2.32
C289,80.484,-67.779,284,16.9,10.5,171,23.7,0.12,1.8,0.7643896203,0.1,0.04246609001,11600,8,66352,79900,250,797,2.77
C290,80.495,-69.706,244.7,12.9,7.8,100,16.6,0.46,2.18,0.9257607623,0.75,0.3184956751,11010,72,62977.2,82000,1660,86,2.65
C291,80.52,-67.969,282.5,11.1,6.3,114,12.5,0.33,2.16,0.9172675443,0.16,0.06794574402,17680,23,101129.6,60800,470,306,5.73
C292,80.524,-68.47,244.1,12.1,6.8,114,14.3,0.17,1.62,0.6879506582,0.09,0.03821948101,6160,4,35235.2,39000,240,638,3.4
C293,80.534,-68.574,250.4,7.1,5.1,14,6.4,0.88,0.99,0.4204142911,0.34,0.144384706,1080,36,6177.6,6500,1220,75,2.15
C294,80.534,-67.579,285.3,9.2,5,104,7.6,0.4,0.82,0.3482219381,0.21,0.08917878903,1800,13,10296,5300,590,163,2.02
C295,80.538,-68.803,281.6,11.3,5.3,118,10,0.3,1.47,0.6242515232,0.3,0.12739827,1650,25,9438,22700,730,155,1.47
C296,80.554,-67.608,279.7,7.2,5,98,6,0.47,0.88,0.3737015921,0.22,0.09342539803,1170,16,6692.4,4900,610,120,1.71
C297,80.556,-69.693,237.7,13.6,8.1,120,17.7,0.18,2.19,0.9300073713,0.17,0.07219235302,14000,28,80080,88300,350,428,4.33
C298,80.559,-65.726,289.2,4,2.1,112,,,1.11,0.4713735992,0.32,0.135891488,490,57,2802.8,0,0,36,2
C299,80.563,-68.063,286.9,5.5,4.8,3,3.8,1.25,1.19,0.5053464712,0.29,0.123151661,1080,26,6177.6,5600,1350,86,2.01
C300,80.563,-65.693,291.4,8.9,1.6,45,,,1.2,0.5095930802,0.34,0.144384706,910,61,5205.2,0,0,85,1.35
C301,80.571,-68.075,278.3,22.5,6.7,30,19.8,0.18,1.75,0.7431565753,0.17,0.07219235302,4180,16,23909.6,63300,440,372,1.44
C302,80.578,-67.987,284.3,11,4.8,5,7.1,0.86,1.54,0.6539777862,1.2,0.5095930802,3710,146,21221.2,17400,2710,15,2.41
C303,80.614,-68.086,285.4,13.4,5.9,105,13,0.25,1.29,0.5478125612,0.24,0.101918616,1530,14,8751.6,22500,530,159,1.46
C304,80.623,-68.036,286.1,5.8,5.2,171,5.6,1.14,0.77,0.3269888931,0.6,0.2547965401,750,76,4290,3400,1790,33,1.13
C305,80.639,-68.558,250.8,7.3,4.8,179,4.8,0.9,2.14,0.9087743263,0.48,0.2038372321,1080,58,6177.6,22900,1260,46,1.27
C306,80.654,-68.051,281.4,5.4,4.4,107,,,0.89,0.3779482011,0.66,0.2802761941,460,68,2631.2,0,0,26,1.03
C307,80.674,-68.374,254.5,8.3,5.4,30,8.5,0.38,1.4,0.5945252602,0.27,0.114658443,1850,22,10582,17200,670,125,2.1
C308,80.674,-67.937,282.4,4,5.3,148,,,1.02,0.4331541181,0.54,0.2293168861,370,65,2116.4,0,0,33,0.89
C309,80.685,-67.12,294.1,8.4,7.8,127,12.7,0.3,1.32,0.5605523882,0.14,0.05945252602,4130,6,23623.6,23000,430,376,2.33
C310,80.695,-65.682,294.7,14,6.6,54,15,0.24,1.58,0.6709642222,0.09,0.03821948101,8540,5,48848.8,38800,280,645,3.81
C311,80.698,-69.702,249.3,10.2,7,156,13.1,0.55,0.77,0.3269888931,0.61,0.2590431491,870,62,4976.4,8100,1500,44,1.13
C312,80.7,-68.113,279.9,5.9,5.2,90,5.6,1.09,0.45,0.1910974051,0.79,0.3354821111,310,77,1773.2,1200,1900,28,1.03
C313,80.713,-67.996,272.4,13.4,8.4,11,18.1,0.32,1.95,0.8280887553,0.28,0.118905052,2730,24,15615.6,71400,720,143,1.53
C314,80.716,-66.676,293.8,6.1,5.1,99,5.7,1.08,0.98,0.4161676821,0.43,0.1826041871,1530,89,8751.6,5700,1340,53,1.9
C315,80.726,-66.686,290,5.8,5.6,102,6.4,0.79,1.16,0.4926066442,0.36,0.1528779241,1300,23,7436,9000,960,93,1.95
