ncl,vlsr,tmax,s/n,R,R error,vel disp,vel disp error,LCO,LCO error,Mvir,Mvir error,Mlum,alphavir,pa,Reg,Flag,
1284,-73.6,1.9,4.8,23,14,4.9,2.2,70000,40000,560000,700000,364283.5398,1.76,155,0.6,IA,0
1285,-59.1,5.5,12,47,27,1.2,2.3,160000,160000,70000,240000,785764.8,0.1,94,0.7,SA,0
1286,-62.2,6.1,12.8,40,25,7.9,3.4,450000,370000,2600000,2510000,2179188.271,1.33,171,0.8,IA,0
1287,-57.9,2.5,6.5,21,23,5.9,7.3,70000,110000,750000,2140000,334134.8858,2.54,148,0.7,SA,0
1288,-50.4,6.8,16.3,79,18,7.9,2.2,2050000,1020000,5140000,2870000,9869280.672,0.58,19,0.8,SA,0
1289,-49.8,4.1,9.5,92,14,3.9,1.3,670000,200000,1460000,1120000,3249221.04,0.5,47,0.7,SA,0
1290,-57.6,4.3,10.3,24,19,18.6,16.5,780000,1130000,8750000,20610000,3736368,2.58,144,0.4,SA,0
1291,-54.2,4.9,10.8,33,19,4.7,3,230000,160000,770000,1080000,1085043.808,0.78,142,0.5,SA,0
1292,-54.5,3.4,7.9,32,0,4.9,2.9,180000,110000,800000,930000,883187.6436,1.01,155,0.4,IA,1
1293,-46.2,5.1,12.9,48,39,8.2,8.6,250000,540000,3340000,6660000,1224559.059,3.06,56,0.9,SA,0
1294,-47.8,5.6,12.1,77,54,8.4,7.7,600000,940000,5710000,12810000,2906844.387,2.17,66,0.3,SA,0
1295,-45.5,5.2,12.5,39,38,16,10.5,270000,320000,10250000,18480000,1340049.017,8.65,2,0.4,SA,0
1296,-48.5,5.7,12,36,32,5.7,5.8,330000,560000,1210000,2420000,1616609.571,0.84,71,0.8,SA,0
1297,-45.6,2.1,4.8,15,25,2.6,2.8,40000,50000,100000,300000,181116,0.65,164,0.7,IA,0
1298,-51,2.9,5.9,32,0,7.8,4.5,70000,50000,1990000,2300000,371153.9704,6.09,97,0.4,IA,1
1299,-46.4,4.9,11.2,79,45,7.6,7.3,160000,170000,4740000,10930000,797844.7952,6.64,45,0.5,SA,0
1300,-41.4,5.1,12,35,32,11.2,7.1,530000,440000,4550000,8380000,2600640,1.96,159,0.7,SA,0
1301,-46.2,4.2,11.3,38,63,5.1,8.2,180000,80000,1040000,3730000,862788.8571,1.33,25,0.6,SA,0
1302,-42.6,2.3,5.4,33,31,4.6,4.7,40000,40000,710000,1600000,178963.1523,4.53,169,0.7,IA,0
1303,-38.8,3.3,7.9,51,21,5,2.8,220000,210000,1330000,1470000,1072663.043,1.38,152,0.7,SA,0
1304,-35,2.5,6.1,73,22,13.7,4.4,450000,120000,14260000,8760000,2200178.502,7.23,88,0.4,SA,0
1305,-25.1,1.8,4.6,32,0,4.6,4.9,30000,50000,690000,1470000,123800.9953,6.35,119,0.8,SA,1
1306,-3.9,1.8,4.5,40,25,6.4,2.8,140000,60000,1710000,1820000,694227.1533,2.74,167,0.7,SA,0
1307,-102,1.8,5.7,36,14,6.6,2.1,130000,20000,1650000,1070000,602858.8609,3.02,124,0.5,SA,0
1308,-99.8,1.8,4.4,32,0,2.2,2.4,40000,30000,160000,340000,211547.8588,0.85,143,0.4,IA,1
1309,-80.6,4.9,9.7,68,11,5.9,2.4,380000,130000,2470000,2010000,1844416.027,1.49,92,0.9,IA,0
1310,-73.3,5,7.9,49,20,5.9,2.1,510000,150000,1790000,1280000,2444822.333,0.81,94,0.8,IA,0
1311,-65.3,2.8,5.6,32,0,5.2,4.1,60000,30000,890000,1420000,272246.6341,3.69,14,0.5,IA,1
1312,-67.8,4.4,6.8,36,22,8.3,6,250000,190000,2590000,3970000,1209801.025,2.38,57,0.7,IA,0
1313,-82.2,3.5,5,32,0,5.2,2.8,90000,30000,880000,940000,473863.2453,2.12,142,0.5,IA,1
1314,-81.4,1.6,4.3,32,0,5.5,4.1,30000,30000,1010000,1480000,146525.163,7.67,165,1.1,IA,1
1315,-54,2.5,6.2,55,22,4.7,3,180000,60000,1260000,1450000,865372.362,1.63,30,0.6,IA,0
1316,-57.2,2.2,5,66,25,7.3,3.4,200000,70000,3630000,4450000,993527.8686,4.11,127,0.5,IA,0
1317,-53.7,4.7,11.4,88,15,4.4,0.9,840000,200000,1780000,790000,4036678.531,0.49,36,1,IA,0
1318,-49.1,3.4,8.4,35,33,4,5.2,160000,240000,580000,1520000,792878.0488,0.82,175,1,IA,0
1319,-46.2,3.4,7.4,46,30,5.9,4.1,130000,150000,1650000,2700000,638853.2165,2.91,154,0.3,IA,0
1320,-49.5,2.5,5.3,36,33,6,2.9,160000,60000,1340000,2310000,767681.6327,1.96,64,1.1,IA,0
1321,-35.8,1.8,4.1,32,0,3.8,2.2,20000,20000,480000,560000,117134.2533,4.58,146,0.4,IA,1
1322,-61,3.9,9.2,66,8,10.2,1.7,600000,40000,7060000,2470000,2941759.793,2.71,156,0.7,IA,0
1323,-64.5,5.8,7.6,73,19,11.9,3.8,1100000,760000,10750000,8480000,5357978.719,2.24,61,0.3,IA,0
1324,-70.1,1.8,4.4,25,13,3.6,2.9,90000,60000,330000,430000,447814.2857,0.84,53,0.4,IA,0
1325,-65.5,3,7,39,14,8.4,2.4,200000,40000,2840000,2070000,959425.2973,3.33,33,0.6,IA,0
1326,-69.7,3.3,7.3,32,14,2.9,1.8,110000,50000,280000,330000,520747.2,0.6,18,0.8,IA,0
1327,-66.2,1.9,4.3,34,33,4.5,3.2,50000,60000,720000,1360000,252160.4101,3.17,117,0.9,IA,0
1328,-63.6,3.4,8.3,36,10,4.6,1.8,200000,60000,800000,590000,950971.3548,0.93,91,0.6,IA,0
1329,-59.5,5,5.5,63,12,5.6,1.7,460000,90000,2020000,1510000,2271053.941,1.01,75,0.6,IA,0
1330,-65.4,4.7,4.6,45,14,5.9,2.8,560000,160000,1630000,1540000,2714400.672,0.67,55,0.4,IA,0
1331,-53.4,2.9,6,44,9,7.7,2.3,160000,20000,2710000,1920000,778604.2057,3.89,31,0.6,IA,0
1332,-46,3,7.1,75,11,8.7,1.3,510000,40000,5960000,2300000,2459218.937,2.68,100,0.4,SA,0
1333,-53.9,2.5,5.3,11,16,5.9,2.8,80000,30000,410000,940000,373578.5798,1.19,20,0.9,IA,0
1334,-58.9,5.9,4.6,32,0,3,2.4,120000,70000,300000,470000,576496.5517,0.58,173,0.8,IA,1
1335,-50.2,5.5,5.1,32,0,4.9,2.4,180000,70000,800000,790000,849542.4,1.05,122,0.5,IA,1
1336,-49.7,2.9,5.9,32,0,2.6,1.4,50000,10000,230000,250000,220304.8421,1.14,65,0.8,IA,1
1337,-37.9,2.3,5,32,0,7.1,2.2,110000,40000,1680000,1030000,527558.4,3.55,2,0.4,IA,1
1338,-17.8,1.9,4,41,26,8.5,4.7,120000,140000,3070000,4080000,588899.3579,5.84,15,0.5,IA,0
1339,15.1,3.4,5.3,33,13,10,3.3,120000,40000,3360000,2910000,607179.0808,6.31,29,0.5,IA,0
1340,-106.9,1.5,5.2,32,0,4.2,2.9,20000,10000,570000,790000,112219.3973,5.84,153,0.5,SA,1
1341,-97.4,1.7,4.5,32,0,6.5,4.5,40000,20000,1390000,1910000,195719.7007,8.02,156,0.8,SA,1
1342,-94.6,1.6,5,32,0,2,1.5,40000,20000,140000,200000,170813.7931,0.87,141,0.5,SA,1
1343,-79.8,3,7.1,32,0,2.7,2.6,140000,70000,240000,450000,712731.7895,0.38,141,0.3,SA,1
1344,-88.6,1.8,5.1,32,0,9.3,8.2,80000,40000,2870000,5020000,391385.6857,8.21,168,0.4,SA,1
1345,-67,2,4.7,32,0,11.5,11.2,80000,90000,4380000,8480000,372505.8378,13.19,124,0.5,SA,1
1346,-71.7,5.4,12,59,37,11.5,5.7,740000,630000,8150000,9710000,3594838.393,2.52,59,0.6,SA,0
1347,-69.4,4.8,10.7,35,51,4.9,9.4,280000,480000,880000,3330000,1355064.375,0.72,57,0.8,SA,0
1348,-72.1,8.5,17,32,0,10,7.1,1020000,1170000,3310000,4720000,5020540.541,0.74,176,0.3,SA,1
1349,-70.1,7.5,14.2,75,17,6.8,1.8,1140000,390000,3620000,2300000,5515545.205,0.73,36,0.4,IA,0
1350,-73.9,3,5.8,40,19,4,2.6,350000,220000,650000,850000,1769142.857,0.42,53,1.4,IA,0
1351,-73.7,2.9,5.3,32,0,4.8,4.2,110000,70000,750000,1320000,552246.5032,1.55,19,0.7,IA,1
1352,-65.8,5.7,13.1,72,26,6.9,3.7,670000,390000,3610000,4820000,3209528.323,1.24,32,0.5,SA,0
1353,-68.9,5.3,11.8,73,36,5.8,2.6,680000,840000,2570000,2540000,3277116,0.87,28,0.5,SA,0
1354,-71.5,4,8.1,61,50,5.8,8.7,490000,960000,2130000,6930000,2382418.44,1,43,0.7,SA,0
1355,-65.4,3,6.5,28,33,4.6,4.7,30000,30000,610000,1280000,161093.5082,4.27,122,0.7,SA,0
1356,-63.6,5.9,12.2,123,32,4,2.2,1410000,610000,2030000,2320000,6923781.818,0.33,12,0.7,SA,0
1357,-67,8.2,17.8,59,22,5.4,2.7,790000,480000,1790000,2000000,3841213.154,0.52,115,0.6,SA,0
1358,-67.3,6.2,12.8,60,20,4.4,1.5,690000,320000,1180000,800000,3371544,0.4,127,0.8,SA,0
