ncl,cltype,maxpix x,maxpix y,maxpix v,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,meansigv,errsigv,a,b,R,errR,area,perim
182,1,1175,947,57,1335,2515,1.35e+06,65.56,10.15,1.815e+06,1.815e+05,27.27,1.197,15.95,79.85,55.27,14.1,1.336e+04,1123
183,2,1181,848,52,200,510,6.358e+04,31.16,9.004,8.551e+04,8551,14.01,0.6696,7.224,10.08,nan,3.949,555.2,110.5
184,1,1175,947,57,1011,2115,4.739e+05,60.28,10.15,6.373e+05,6.373e+04,20.66,0.9328,9.153,11.4,nan,2.14,5293,576.4
185,2,1276,1228,54,1294,4292,3.882e+05,85.13,10.97,5.221e+05,5.221e+04,15.99,0.8002,9.805,33.05,23.36,8.105,2885,406.2
186,2,1138,1301,57,72,78,3.27e+05,15.93,7.013,4.398e+05,4.398e+04,20.05,0.8033,46.06,13.14,35.91,17.97,5476,588.3
187,2,1348,1355,62,990,5749,6.111e+05,98.31,10.87,8.218e+05,8.218e+04,28.83,1.273,17.55,24.34,28.6,8.361,2578,262.8
188,2,1189,931,56,585,1052,8.639e+04,43.24,8.644,1.162e+05,1.162e+04,8.865,0.4258,10.48,17.09,12.77,9.306,1345,224
189,2,1175,947,57,269,816,7.944e+04,38.45,10.15,1.068e+05,1.068e+04,13.9,0.6482,6.729,8.756,nan,1.024,657.8,128.4
190,2,1239,1212,55,36,36,3.619e+04,13.57,7.183,4.868e+04,4868,7.119,0.3374,8.505,9.508,nan,1.455,595.3,140.4
191,2,1461,1992,56,520,890,1.048e+05,40.02,11.8,1.409e+05,1.409e+04,8.542,0.3711,15.03,8.397,4.815,11.78,1416,212
192,2,1185,1004,58,268,341,2.154e+05,26.27,7.451,2.897e+05,2.897e+04,13.9,0.6341,13.65,26.16,25.16,12.22,2368,277.7
193,2,1315,1206,60,447,1141,1.004e+05,44.92,9.481,1.351e+05,1.351e+04,16,0.7973,9.318,18.05,11.58,10.59,996.7,188.1
194,2,1282,1127,59,47,51,3.229e+04,14.45,7.112,4.342e+04,4343,6.902,0.2853,16.8,4.91,nan,14.24,532.9,125.4
195,1,1349,1055,65,6,6,2.845e+05,11.59,6.563,3.826e+05,3.826e+04,19.42,0.9626,21.89,61.27,56.86,27.7,5744,743.6
196,2,1309,1027,60,0,0,5.391e+04,11.15,6.075,7.25e+04,7250,9.165,0.5059,7.831,16.01,4.58,27.39,1090,182.2
197,2,1349,1055,65,6,6,1.808e+05,11.59,6.563,2.431e+05,2.431e+04,19.09,0.8782,15.11,56.75,44.22,9.241,3804,540.5
198,1,1284,1131,66,1190,3224,5.47e+05,73.99,10.34,7.356e+05,7.356e+04,20.59,0.9096,19.07,21.47,27.77,5.261,4723,567.4
199,2,1284,1131,66,1042,3016,4.796e+05,71.62,10.34,6.449e+05,6.449e+04,20.56,0.9051,18.65,21.09,27,4.707,3828,462.9
200,2,1269,1279,65,0,0,6.061e+04,11.15,6.099,8.15e+04,8150,10.54,0.5006,12.2,16.08,14.44,11.18,1215,215
201,2,1243,1253,71,126,135,1.87e+05,18.66,7.353,2.515e+05,2.515e+04,18.75,0.8148,22.37,12.79,21.12,10.8,2007,298.6
202,2,1296,1065,66,148,208,3.648e+04,21.67,8.123,4.906e+04,4906,6.943,0.2946,6.317,10.91,nan,5.177,711.3,155.3
203,2,1283,1273,71,0,0,2.317e+04,11.15,5.167,3.116e+04,3117,6.917,0.2907,11.16,6.354,nan,5.492,775.9,146.3
